now,2014,7,17,10,55
meeting,2014,7,17,10,55
homeworkA,2014,7,17,0,8
homeworkB,2014,7,17,1,17
party,2014,7,17,10,55
now,2014,7,17,11,21
meeting,2014,7,17,10,55
homeworkA,2014,7,17,11,20
homeworkB,2014,7,17,1,17
party,2014,7,17,10,55
now,2014,7,17,13,34
meeting,2014,7,18,12,0
homeworkA,2014,7,17,11,20
homeworkB,2014,7,17,1,17
party,2014,7,17,10,55
now,2014,7,17,13,35
meeting,2014,7,17,13,35
homeworkA,2014,7,17,11,20
homeworkB,2014,7,17,1,17
party,2014,7,17,10,55
now,2014,7,17,13,35
meeting,2014,7,17,13,35
homeworkA,2014,7,17,11,20
homeworkB,2014,7,17,1,17
party,2014,7,17,10,55
now,2014,7,17,13,38
meeting,2014,7,17,13,35
homeworkA,2014,7,17,11,20
homeworkB,2014,7,17,1,17
party,2014,7,17,10,55
now,2014,7,17,13,53
meeting,2014,7,17,13,35
homeworkA,2014,7,23,13,0
homeworkB,2014,7,17,1,17
party,2014,7,17,10,55
now,2014,7,17,14,40
meeting,2014,7,17,13,35
homeworkA,2014,7,17,13,54
homeworkB,2041,8,17,1,17
party,2014,7,17,13,54
now,2014,7,17,17,53
meeting,2014,7,17,17,52
homeworkA,2014,7,17,13,54
homeworkB,2041,8,17,1,17
party,2014,7,17,13,54
now,2014,8,3,21,35
meeting,2014,8,5,1,34
homeworkA,2014,8,3,21,34
homeworkB,2014,8,3,21,34
party,2014,8,3,21,34
now,2014,8,7,16,49
meeting,2014,8,9,16,49
homeworkA,2014,8,3,21,34
homeworkB,2014,8,3,21,34
party,2014,8,3,21,34
now,2015,4,9,22,5
meeting,2014,8,26,16,49
homeworkA,2014,8,3,21,34
homeworkB,2014,8,3,21,34
party,2014,8,3,21,34
now,2015,5,25,16,16
meeting,2015,5,26,17,0
homeworkA,2014,8,3,21,34
homeworkB,2014,8,3,21,34
party,2014,8,3,21,34
now,2015,7,22,18,23
meeting,2015,7,22,18,22
homeworkA,2014,8,3,21,34
homeworkB,2014,8,3,21,34
party,2014,8,3,21,34
now,2015,7,22,18,25
meeting,2015,7,22,18,22
homeworkA,2014,8,3,21,34
homeworkB,2014,8,3,21,34
party,2014,8,3,21,34
