Sketch: C:\Users\ìSòN\Google ÉhÉâÉCÉu\ëÂäw\çuã`éëóø\ÇQÇOÇPÇSîNìxëOä˙\èÓïÒï\åª\êiíªÅAÇ«Ç§Ç≈Ç∑Ç©ÅH\sketch____, 2014-07-16 01:01:47.867
Comma in error msg is substituted with ^ symbol
For separating arguments in error args | symbol is used
ERROR TYPE, ERROR ARGS, ERROR MSG
UndefinedMethod,{sketch____.sketch____| time| },The method time() is undefined for the type sketch____
LocalVariableIsNeverUsed,{convert},The value of the local variable convert is not used
TypeMismatch,{int| java.lang.String},Type mismatch: cannot convert from int to String
TypeMismatch,{void| java.lang.String},Type mismatch: cannot convert from void to String
TypeMismatch,{void| int},Type mismatch: cannot convert from void to int
UnterminatedComment,{},Unexpected end of comment
UnresolvedVariable,{co},co cannot be resolved to a variable
UnresolvedVariable,{con},con cannot be resolved to a variable
UnresolvedVariable,{d},d cannot be resolved to a variable
UnresolvedVariable,{da},da cannot be resolved to a variable
UnresolvedVariable,{data},data cannot be resolved to a variable
UnresolvedVariable,{dead},dead cannot be resolved to a variable
UnresolvedVariable,{dead_},dead_ cannot be resolved to a variable
UnresolvedVariable,{dead_sum},dead_sum cannot be resolved to a variable
UnresolvedVariable,{h},h cannot be resolved to a variable
UnresolvedVariable,{i},i cannot be resolved to a variable
UnresolvedVariable,{l},l cannot be resolved to a variable
UnresolvedVariable,{llines},llines cannot be resolved to a variable
UndefinedType,{lnt},lnt cannot be resolved to a type
UnresolvedVariable,{lo},lo cannot be resolved to a variable
UnresolvedVariable,{log_},log_ cannot be resolved to a variable
UnresolvedVariable,{m},m cannot be resolved to a variable
UnresolvedVariable,{min},min cannot be resolved to a variable
UnresolvedVariable,{mln},mln cannot be resolved to a variable
UnresolvedVariable,{mn},mn cannot be resolved to a variable
UndefinedType,{oid},oid cannot be resolved to a type
UnresolvedVariable,{p},p cannot be resolved to a variable
UnresolvedVariable,{pag},pag cannot be resolved to a variable
UnresolvedVariable,{pages},pages cannot be resolved to a variable
UnresolvedVariable,{sec},sec cannot be resolved to a variable
UndefinedType,{vold},vold cannot be resolved to a type
