Sketch: C:\Users\ìSòN\Google ÉhÉâÉCÉu\ëÂäw\çuã`éëóø\ÇQÇOÇPÇSîNìxëOä˙\èÓïÒï\åª\êiíªÅAÇ«Ç§Ç≈Ç∑Ç©ÅH\sketch____, 2014-07-16 01:01:47.867
Comma in error msg is substituted with ^ symbol
For separating arguments in error args | symbol is used
ERROR TYPE, ERROR ARGS, ERROR MSG
DuplicateField,{sketch____| d},Duplicate field sketch____.d
DuplicateField,{sketch____| data},Duplicate field sketch____.data
DuplicateField,{sketch____| dead},Duplicate field sketch____.dead
DuplicateField,{sketch____| dead_sum},Duplicate field sketch____.dead_sum
DuplicateField,{sketch____| h},Duplicate field sketch____.h
DuplicateField,{sketch____| m},Duplicate field sketch____.m
DuplicateField,{sketch____| min},Duplicate field sketch____.min
DuplicateField,{sketch____| sec},Duplicate field sketch____.sec
DuplicateField,{sketch____| y},Duplicate field sketch____.y
DuplicateMethod,{calender| sketch____.sketch____| },Duplicate method calender() in type sketch____
DuplicateMethod,{time| sketch____.sketch____| },Duplicate method time() in type sketch____
UnterminatedString,{},String literal is not properly closed by a double-quote
ParsingErrorInvalidToken,{"deadline.txt"| FormalParameterList},Syntax error on token ""deadline.txt""^ invalid FormalParameterList
ParsingError,{(| @},Syntax error on token "("^ @ expected
ParsingErrorDeleteToken,{(},Syntax error on token "("^ delete this token
ParsingErrorDeleteToken,{)},Syntax error on token ")"^ delete this token
ParsingErrorInsertTokenAfter,{)| {},Syntax error on token ")"^ { expected after this token
ParsingError,{++| (},Syntax error on token "++"^ ( expected
ParsingError,{+=| =},Syntax error on token "+="^ = expected
ParsingError,{,| *},Syntax error on token "^"^ * expected
ParsingError,{,| .},Syntax error on token "^"^ . expected
ParsingErrorInsertTokenAfter,{,| Expression},Syntax error on token "^"^ Expression expected after this token
ParsingErrorDeleteToken,{/},Syntax error on token "/"^ delete this token
ParsingError,{/| }},Syntax error on token "/"^ } expected
ParsingError,{;| (},Syntax error on token ";"^ ( expected
ParsingError,{;| [},Syntax error on token ";"^ [ expected
ParsingErrorDeleteToken,{;},Syntax error on token ";"^ delete this token
ParsingErrorDeleteToken,{=},Syntax error on token "="^ delete this token
ParsingError,{Setup| (},Syntax error on token "Setup"^ ( expected
ParsingError,{Setup| [},Syntax error on token "Setup"^ [ expected
ParsingError,{[| (},Syntax error on token "["^ ( expected
ParsingErrorInsertTokenAfter,{[| Expression},Syntax error on token "["^ Expression expected after this token
ParsingErrorInvalidToken,{a| Modifiers},Syntax error on token "a"^ invalid Modifiers
ParsingErrorDeleteToken,{data},Syntax error on token "data"^ delete this token
ParsingErrorInsertTokenAfter,{dead_updown| =},Syntax error on token "dead_updown"^ = expected after this token
ParsingErrorDeleteToken,{else},Syntax error on token "else"^ delete this token
ParsingError,{else| new},Syntax error on token "else"^ new expected
ParsingErrorInsertTokenAfter,{fill| =},Syntax error on token "fill"^ = expected after this token
ParsingErrorDeleteToken,{for},Syntax error on token "for"^ delete this token
ParsingErrorInvalidToken,{for| AnnotationName},Syntax error on token "for"^ invalid AnnotationName
ParsingErrorDeleteToken,{i},Syntax error on token "i"^ delete this token
ParsingErrorDeleteToken,{int},Syntax error on token "int"^ delete this token
ParsingErrorInsertTokenAfter,{lines| VariableDeclaratorId},Syntax error on token "lines"^ VariableDeclaratorId expected after this token
ParsingErrorInsertTokenAfter,{ln| VariableDeclaratorId},Syntax error on token "ln"^ VariableDeclaratorId expected after this token
ParsingErrorInsertTokenAfter,{memory| VariableDeclaratorId},Syntax error on token "memory"^ VariableDeclaratorId expected after this token
ParsingErrorDeleteToken,{void},Syntax error on token "void"^ delete this token
ParsingError,{void| {},Syntax error on token "void"^ { expected
ParsingErrorDeleteToken,{}},Syntax error on token "}"^ delete this token
ParsingError,{}| {},Syntax error on token "}"^ { expected
ParsingErrorInsertTokenAfter,{}| {},Syntax error on token "}"^ { expected after this token
ParsingErrorReplaceTokens,{TypeArgumentList1},Syntax error on tokens^ TypeArgumentList1 expected instead
ParsingErrorDeleteTokens,{},Syntax error on tokens^ delete these tokens
ParsingErrorMisplacedConstruct,{},Syntax error on token(s)^ misplaced construct(s)
ParsingErrorInsertToComplete,{)| Expression},Syntax error^ insert ")" to complete Expression
ParsingErrorInsertToComplete,{)| MethodDeclaration},Syntax error^ insert ")" to complete MethodDeclaration
ParsingErrorInsertToComplete,{)| MethodInvocation},Syntax error^ insert ")" to complete MethodInvocation
ParsingErrorInsertToComplete,{)| NormalAnnotation},Syntax error^ insert ")" to complete NormalAnnotation
ParsingErrorInsertToComplete,{;| BlockStatements},Syntax error^ insert ";" to complete BlockStatements
ParsingErrorInsertToComplete,{;| FieldDeclaration},Syntax error^ insert ";" to complete FieldDeclaration
ParsingErrorInsertToComplete,{;| MethodDeclaration},Syntax error^ insert ";" to complete MethodDeclaration
ParsingErrorInsertToComplete,{;| Statement},Syntax error^ insert ";" to complete Statement
ParsingErrorInsertToComplete,{AssignmentOperator Expression| Assignment},Syntax error^ insert "AssignmentOperator Expression" to complete Assignment
ParsingErrorInsertToComplete,{AssignmentOperator Expression| Expression},Syntax error^ insert "AssignmentOperator Expression" to complete Expression
ParsingErrorInsertToComplete,{Type VariableDeclaratorId| FormalParameter},Syntax error^ insert "Type VariableDeclaratorId" to complete FormalParameter
ParsingErrorInsertToComplete,{]| ArgumentList},Syntax error^ insert "]" to complete ArgumentList
ParsingErrorInsertToComplete,{]| ArrayAccess},Syntax error^ insert "]" to complete ArrayAccess
ParsingErrorInsertToComplete,{]| Expression},Syntax error^ insert "]" to complete Expression
ParsingErrorInsertToComplete,{else Statement| IfStatement},Syntax error^ insert "else Statement" to complete IfStatement
ParsingErrorInsertToComplete,{}| Block},Syntax error^ insert "}" to complete Block
ParsingErrorInsertToComplete,{}| BlockStatements},Syntax error^ insert "}" to complete BlockStatements
ParsingErrorInsertToComplete,{}| ClassBody},Syntax error^ insert "}" to complete ClassBody
ParsingErrorInsertToComplete,{}| MethodBody},Syntax error^ insert "}" to complete MethodBody
ParsingErrorInsertToComplete,{}| Statement},Syntax error^ insert "}" to complete Statement
MethodVarargsArgumentNeedCast,{int[][]| java.lang.Object[]| println| java.lang.Object...| processing.core.PApplet| java.lang.Object},The argument of type int[][] should explicitly be cast to Object[] for the invocation of the varargs method println(Object...) from type PApplet. It could alternatively be cast to Object for a varargs invocation
NotVisibleField,{y| java.awt.Component},The field Component.y is not visible
UndefinedMethod,{sketch____.sketch____| calender| },The method calender() is undefined for the type sketch____
UndefinedMethod,{sketch____.sketch____| dead_updown| },The method dead_updown() is undefined for the type sketch____
UndefinedMethod,{sketch____.sketch____| disp| int},The method disp(int) is undefined for the type sketch____
UndefinedMethod,{sketch____.sketch____| prlntln| int[]},The method prlntln(int[]) is undefined for the type sketch____
UndefinedMethod,{sketch____.sketch____| prntln| int[]},The method prntln(int[]) is undefined for the type sketch____
ParameterMismatch,{processing.core.PApplet| saveStrings| java.lang.String, java.lang.String[]| java.lang.String},The method saveStrings(String^ String[]) in the type PApplet is not applicable for the arguments (String)
