Sketch: C:\Users\ìSòN\Google ÉhÉâÉCÉu\ëÂäw\çuã`éëóø\ÇQÇOÇPÇSîNìxëOä˙\èÓïÒï\åª\êiíªÅAÇ«Ç§Ç≈Ç∑Ç©ÅH\sketch____, 2014-07-16 13:40:20.206
Comma in error msg is substituted with ^ symbol
For separating arguments in error args | symbol is used
ERROR TYPE, ERROR ARGS, ERROR MSG
NonStaticFieldFromStaticInvocation,{d},Cannot make a static reference to the non-static field d
NonStaticFieldFromStaticInvocation,{m},Cannot make a static reference to the non-static field m
NonStaticFieldFromStaticInvocation,{y},Cannot make a static reference to the non-static field y
InvalidDigit,{},Invalid digit (valid ones are 0..9)
ParsingErrorDeleteToken,{%},Syntax error on token "%"^ delete this token
ParsingErrorDeleteToken,{&},Syntax error on token "&"^ delete this token
ParsingError,{(| ;},Syntax error on token "("^ ; expected
ParsingError,{)| ;},Syntax error on token ")"^ ; expected
ParsingErrorInsertTokenAfter,{)| Statement},Syntax error on token ")"^ Statement expected after this token
ParsingErrorDeleteToken,{*},Syntax error on token "*"^ delete this token
ParsingError,{*| }},Syntax error on token "*"^ } expected
ParsingError,{,| (},Syntax error on token "^"^ ( expected
ParsingError,{,| .},Syntax error on token "^"^ . expected
ParsingErrorInsertTokenAfter,{,| Expression},Syntax error on token "^"^ Expression expected after this token
ParsingErrorInsertTokenAfter,{,| FormalParameter},Syntax error on token "^"^ FormalParameter expected after this token
ParsingErrorDeleteToken,{,},Syntax error on token "^"^ delete this token
ParsingErrorInvalidToken,{,| Type},Syntax error on token "^"^ invalid Type
ParsingError,{-| --},Syntax error on token "-"^ -- expected
ParsingError,{.| ,},Syntax error on token "."^ ^ expected
ParsingError,{.| ...},Syntax error on token "."^ ... expected
ParsingErrorDeleteToken,{/},Syntax error on token "/"^ delete this token
ParsingError,{0| ]},Syntax error on token "0"^ ] expected
ParsingErrorDeleteToken,{0017},Syntax error on token "0017"^ delete this token
ParsingErrorInsertTokenAfter,{4| [},Syntax error on token "4"^ [ expected after this token
ParsingError,{;| ,},Syntax error on token ";"^ ^ expected
ParsingErrorDeleteToken,{;},Syntax error on token ";"^ delete this token
ParsingErrorDeleteToken,{<},Syntax error on token "<"^ delete this token
ParsingErrorInsertTokenAfter,{=| VariableInitializer},Syntax error on token "="^ VariableInitializer expected after this token
ParsingErrorDeleteToken,{==},Syntax error on token "=="^ delete this token
ParsingErrorDeleteToken,{>},Syntax error on token ">"^ delete this token
ParsingErrorDeleteToken,{Invalid Character},Syntax error on token "Invalid Character"^ delete this token
ParsingErrorInsertTokenAfter,{[| Expression},Syntax error on token "["^ Expression expected after this token
ParsingErrorInsertTokenAfter,{[| ]},Syntax error on token "["^ ] expected after this token
ParsingErrorDeleteToken,{[},Syntax error on token "["^ delete this token
ParsingErrorInsertTokenAfter,{]| [},Syntax error on token "]"^ [ expected after this token
ParsingErrorInvalidToken,{button| Dimensions},Syntax error on token "button"^ invalid Dimensions
ParsingError,{ca| }},Syntax error on token "ca"^ } expected
ParsingError,{case| }},Syntax error on token "case"^ } expected
ParsingErrorInsertTokenAfter,{e| VariableDeclaratorId},Syntax error on token "e"^ VariableDeclaratorId expected after this token
ParsingErrorDeleteToken,{else},Syntax error on token "else"^ delete this token
ParsingErrorInsertTokenAfter,{gat| VariableDeclaratorId},Syntax error on token "gat"^ VariableDeclaratorId expected after this token
ParsingErrorInsertTokenAfter,{gat_| VariableDeclaratorId},Syntax error on token "gat_"^ VariableDeclaratorId expected after this token
ParsingErrorInsertTokenAfter,{gat_h| VariableDeclaratorId},Syntax error on token "gat_h"^ VariableDeclaratorId expected after this token
ParsingErrorInsertTokenAfter,{ge| VariableDeclaratorId},Syntax error on token "ge"^ VariableDeclaratorId expected after this token
ParsingError,{get| ;},Syntax error on token "get"^ ; expected
ParsingErrorInsertTokenAfter,{get_| VariableDeclaratorId},Syntax error on token "get_"^ VariableDeclaratorId expected after this token
ParsingErrorInsertTokenAfter,{get_min| VariableDeclaratorId},Syntax error on token "get_min"^ VariableDeclaratorId expected after this token
ParsingError,{i| ;},Syntax error on token "i"^ ; expected
ParsingErrorInsertTokenAfter,{i| VariableDeclaratorId},Syntax error on token "i"^ VariableDeclaratorId expected after this token
ParsingErrorDeleteToken,{if},Syntax error on token "if"^ delete this token
ParsingErrorInsertTokenAfter,{in| VariableDeclaratorId},Syntax error on token "in"^ VariableDeclaratorId expected after this token
ParsingErrorDeleteToken,{in},Syntax error on token "in"^ delete this token
ParsingError,{int| ;},Syntax error on token "int"^ ; expected
ParsingErrorInsertTokenAfter,{int| Dimensions},Syntax error on token "int"^ Dimensions expected after this token
ParsingErrorInsertTokenAfter,{int| VariableDeclaratorId},Syntax error on token "int"^ VariableDeclaratorId expected after this token
ParsingErrorDeleteToken,{int},Syntax error on token "int"^ delete this token
ParsingError,{int| {},Syntax error on token "int"^ { expected
ParsingErrorDeleteToken,{l},Syntax error on token "l"^ delete this token
ParsingErrorInvalidToken,{new| VariableInitializer},Syntax error on token "new"^ invalid VariableInitializer
ParsingErrorInvalidToken,{r| Dimensions},Syntax error on token "r"^ invalid Dimensions
ParsingErrorDeleteToken,{r_},Syntax error on token "r_"^ delete this token
ParsingErrorInvalidToken,{r_| Dimensions},Syntax error on token "r_"^ invalid Dimensions
ParsingErrorDeleteToken,{r_v},Syntax error on token "r_v"^ delete this token
ParsingError,{return| ReferenceType},Syntax error on token "return"^ ReferenceType expected
ParsingErrorDeleteToken,{return},Syntax error on token "return"^ delete this token
ParsingErrorInvalidToken,{return| Type},Syntax error on token "return"^ invalid Type
ParsingError,{return| }},Syntax error on token "return"^ } expected
ParsingErrorInvalidToken,{stat| Modifiers},Syntax error on token "stat"^ invalid Modifiers
ParsingErrorDeleteToken,{switch},Syntax error on token "switch"^ delete this token
ParsingErrorInsertTokenAfter,{{| Expression},Syntax error on token "{"^ Expression expected after this token
ParsingErrorInvalidToken,{{| AssignmentOperator},Syntax error on token "{"^ invalid AssignmentOperator
ParsingErrorInsertTokenAfter,{{| }},Syntax error on token "{"^ } expected after this token
ParsingErrorDeleteToken,{}},Syntax error on token "}"^ delete this token
ParsingErrorInsertTokenAfter,{}| {},Syntax error on token "}"^ { expected after this token
ParsingErrorReplaceTokens,{AnnotationName},Syntax error on tokens^ AnnotationName expected instead
ParsingErrorReplaceTokens,{Dimensions},Syntax error on tokens^ Dimensions expected instead
ParsingErrorReplaceTokens,{ReferenceType},Syntax error on tokens^ ReferenceType expected instead
ParsingErrorReplaceTokens,{Type},Syntax error on tokens^ Type expected instead
ParsingErrorDeleteTokens,{},Syntax error on tokens^ delete these tokens
ParsingErrorMisplacedConstruct,{},Syntax error on token(s)^ misplaced construct(s)
ParsingErrorInsertToComplete,{) Statement| IfStatement},Syntax error^ insert ") Statement" to complete IfStatement
ParsingErrorInsertToComplete,{) SwitchBlock| SwitchStatement},Syntax error^ insert ") SwitchBlock" to complete SwitchStatement
ParsingErrorInsertToComplete,{)| Expression},Syntax error^ insert ")" to complete Expression
ParsingErrorInsertToComplete,{)| MethodDeclaration},Syntax error^ insert ")" to complete MethodDeclaration
ParsingErrorInsertToComplete,{)| MethodInvocation},Syntax error^ insert ")" to complete MethodInvocation
ParsingErrorInsertToComplete,{:| SwitchLabel},Syntax error^ insert ":" to complete SwitchLabel
ParsingErrorInsertToComplete,{;| BlockStatements},Syntax error^ insert ";" to complete BlockStatements
ParsingErrorInsertToComplete,{;| FieldDeclaration},Syntax error^ insert ";" to complete FieldDeclaration
