Sketch: C:\Users\ìSòN\Google ÉhÉâÉCÉu\ëÂäw\çuã`éëóø\ÇQÇOÇPÇSîNìxëOä˙\èÓïÒï\åª\êiíªÅAÇ«Ç§Ç≈Ç∑Ç©ÅH\sketch____, 2014-07-16 21:37:57.921
Comma in error msg is substituted with ^ symbol
For separating arguments in error args | symbol is used
ERROR TYPE, ERROR ARGS, ERROR MSG
ParsingError,{textA| throw},Syntax error on token "textA"^ throw expected
ParsingErrorInsertTokenAfter,{textAlign| =},Syntax error on token "textAlign"^ = expected after this token
ParsingErrorDeleteToken,{void},Syntax error on token "void"^ delete this token
ParsingErrorDeleteToken,{width},Syntax error on token "width"^ delete this token
ParsingErrorDeleteToken,{y},Syntax error on token "y"^ delete this token
ParsingErrorInsertTokenAfter,{{| Expression},Syntax error on token "{"^ Expression expected after this token
ParsingErrorInsertTokenAfter,{||| Expression},Syntax error on token "||"^ Expression expected after this token
ParsingErrorDeleteToken,{}},Syntax error on token "}"^ delete this token
ParsingErrorReplaceTokens,{(},Syntax error on tokens^ ( expected instead
ParsingErrorDeleteTokens,{},Syntax error on tokens^ delete these tokens
ParsingErrorMisplacedConstruct,{},Syntax error on token(s)^ misplaced construct(s)
ParsingErrorInsertToComplete,{) Statement| BlockStatements},Syntax error^ insert ") Statement" to complete BlockStatements
ParsingErrorInsertToComplete,{) Statement| IfStatement},Syntax error^ insert ") Statement" to complete IfStatement
ParsingErrorInsertToComplete,{)| ConstructorDeclaration},Syntax error^ insert ")" to complete ConstructorDeclaration
ParsingErrorInsertToComplete,{)| Expression},Syntax error^ insert ")" to complete Expression
ParsingErrorInsertToComplete,{)| MethodInvocation},Syntax error^ insert ")" to complete MethodInvocation
ParsingErrorInsertToComplete,{: Expression| ArgumentList},Syntax error^ insert ": Expression" to complete ArgumentList
ParsingErrorInsertToComplete,{; ) Statement| BlockStatements},Syntax error^ insert "; ) Statement" to complete BlockStatements
ParsingErrorInsertToComplete,{; ) Statement| ForStatement},Syntax error^ insert "; ) Statement" to complete ForStatement
ParsingErrorInsertToComplete,{; ; ) Statement| BlockStatements},Syntax error^ insert "; ; ) Statement" to complete BlockStatements
ParsingErrorInsertToComplete,{; ; ) Statement| ForStatement},Syntax error^ insert "; ; ) Statement" to complete ForStatement
ParsingErrorInsertToComplete,{;| BlockStatements},Syntax error^ insert ";" to complete BlockStatements
ParsingErrorInsertToComplete,{;| ConstructorDeclaration},Syntax error^ insert ";" to complete ConstructorDeclaration
ParsingErrorInsertToComplete,{;| FieldDeclaration},Syntax error^ insert ";" to complete FieldDeclaration
ParsingErrorInsertToComplete,{;| Statement},Syntax error^ insert ";" to complete Statement
ParsingErrorInsertToComplete,{ArrayInitializer| ArrayCreationWithArrayInitializer},Syntax error^ insert "ArrayInitializer" to complete ArrayCreationWithArrayInitializer
ParsingErrorInsertToComplete,{AssignmentOperator Expression| Assignment},Syntax error^ insert "AssignmentOperator Expression" to complete Assignment
ParsingErrorInsertToComplete,{AssignmentOperator Expression| Expression},Syntax error^ insert "AssignmentOperator Expression" to complete Expression
ParsingErrorInsertToComplete,{AssignmentOperator Expression| ForUpdate},Syntax error^ insert "AssignmentOperator Expression" to complete ForUpdate
ParsingErrorInsertToComplete,{Type VariableDeclaratorId| FormalParameter},Syntax error^ insert "Type VariableDeclaratorId" to complete FormalParameter
ParsingErrorInsertToComplete,{]| ArgumentList},Syntax error^ insert "]" to complete ArgumentList
ParsingErrorInsertToComplete,{]| ArrayAccess},Syntax error^ insert "]" to complete ArrayAccess
ParsingErrorInsertToComplete,{]| Expression},Syntax error^ insert "]" to complete Expression
ParsingErrorInsertToComplete,{else Statement| BlockStatements},Syntax error^ insert "else Statement" to complete BlockStatements
ParsingErrorInsertToComplete,{else Statement| IfStatement},Syntax error^ insert "else Statement" to complete IfStatement
ParsingErrorInsertToComplete,{}| Block},Syntax error^ insert "}" to complete Block
ParsingErrorInsertToComplete,{}| ClassBody},Syntax error^ insert "}" to complete ClassBody
ParsingErrorInsertToComplete,{}| MethodBody},Syntax error^ insert "}" to complete MethodBody
ParsingErrorInsertToComplete,{}| Statement},Syntax error^ insert "}" to complete Statement
ParameterMismatch,{sketch____.sketch____| calender| int, int, int, int, int, int| int, int},The method calender(int^ int^ int^ int^ int^ int) in the type sketch____ is not applicable for the arguments (int^ int)
ParameterMismatch,{sketch____.sketch____| calender| int, int, int, int, int, int| int, int, int},The method calender(int^ int^ int^ int^ int^ int) in the type sketch____ is not applicable for the arguments (int^ int^ int)
ParameterMismatch,{sketch____.sketch____| calender| int, int, int, int, int, int| int, int, int, int},The method calender(int^ int^ int^ int^ int^ int) in the type sketch____ is not applicable for the arguments (int^ int^ int^ int)
ParameterMismatch,{sketch____.sketch____| calender| int, int, int, int, int, int| int, int, int, int, int},The method calender(int^ int^ int^ int^ int^ int) in the type sketch____ is not applicable for the arguments (int^ int^ int^ int^ int)
ParameterMismatch,{sketch____.sketch____| calender| int, int, int, int, int, int| int, int, int, int[][]},The method calender(int^ int^ int^ int^ int^ int) in the type sketch____ is not applicable for the arguments (int^ int^ int^ int[][])
UndefinedMethod,{sketch____.sketch____| data_save| int},The method data_save(int) is undefined for the type sketch____
UndefinedMethod,{sketch____.sketch____| data_savecalender| int, int, int, int, int, int},The method data_savecalender(int^ int^ int^ int^ int^ int) is undefined for the type sketch____
UndefinedMethod,{sketch____.sketch____| datacalender| int, int, int, int, int},The method datacalender(int^ int^ int^ int^ int) is undefined for the type sketch____
UndefinedMethod,{sketch____.sketch____| datacalender| int, int, int, int, int, int},The method datacalender(int^ int^ int^ int^ int^ int) is undefined for the type sketch____
UndefinedMethod,{sketch____.sketch____| dcalender| int, int, int, int, int},The method dcalender(int^ int^ int^ int^ int) is undefined for the type sketch____
UndefinedMethod,{sketch____.sketch____| dead_| int},The method dead_(int) is undefined for the type sketch____
UndefinedMethod,{sketch____.sketch____| dead_r| int},The method dead_r(int) is undefined for the type sketch____
UndefinedMethod,{sketch____.sketch____| dead_re| int},The method dead_re(int) is undefined for the type sketch____
UndefinedMethod,{sketch____.sketch____| dead_rialti| int},The method dead_rialti(int) is undefined for the type sketch____
