Sketch: C:\Users\ìSòN\Google ÉhÉâÉCÉu\ëÂäw\çuã`éëóø\ÇQÇOÇPÇSîNìxëOä˙\èÓïÒï\åª\êiíªÅAÇ«Ç§Ç≈Ç∑Ç©ÅH\sketch____, 2014-07-16 16:55:39.435
Comma in error msg is substituted with ^ symbol
For separating arguments in error args | symbol is used
ERROR TYPE, ERROR ARGS, ERROR MSG
ParsingErrorInsertToComplete,{]| ArrayAccess},Syntax error^ insert "]" to complete ArrayAccess
ParsingErrorInsertToComplete,{]| Expression},Syntax error^ insert "]" to complete Expression
ParsingErrorInsertToComplete,{}| Block},Syntax error^ insert "}" to complete Block
ParsingErrorInsertToComplete,{}| ClassBody},Syntax error^ insert "}" to complete ClassBody
ParsingErrorInsertToComplete,{}| MethodBody},Syntax error^ insert "}" to complete MethodBody
UndefinedMethod,{sketch____.sketch____| data_save| int},The method data_save(int) is undefined for the type sketch____
ParameterMismatch,{sketch____.sketch____| dead_updown| int| },The method dead_updown(int) in the type sketch____ is not applicable for the arguments ()
InvalidOperator,{/| int[], int},The operator / is undefined for the argument type(s) int[]^ int
InvalidOperator,{<| int[], int},The operator < is undefined for the argument type(s) int[]^ int
ArrayReferenceRequired,{java.lang.String},The type of the expression must be an array type but it resolved to String
ArrayReferenceRequired,{int},The type of the expression must be an array type but it resolved to int
TypeMismatch,{int| int[]},Type mismatch: cannot convert from int to int[]
TypeMismatch,{int[]| int[][]},Type mismatch: cannot convert from int[] to int[][]
TypeMismatch,{void| int},Type mismatch: cannot convert from void to int
UnresolvedVariable,{a},a cannot be resolved to a variable
UnresolvedVariable,{convert},convert cannot be resolved to a variable
UnresolvedVariable,{ddead},ddead cannot be resolved to a variable
UnresolvedVariable,{dead_},dead_ cannot be resolved to a variable
UnresolvedVariable,{memory},memory cannot be resolved to a variable
UnresolvedVariable,{sec},sec cannot be resolved to a variable
